SAMPLE,NUMBER,SiO2,FeO,MgO,CaO,NiO,MnO,TOTAL,Fo
D15-3__006,22,40.2865,10.1884,48.353,0.251644,0.391405,0.135576,99.6264,89.4291
D15-3__006,22,40.2947,10.3795,48.1204,0.24687,0.392921,0.144622,99.6061,89.2058
D15-3__006,22,40.3313,10.4075,48.2356,0.243916,0.385947,0.140914,99.7918,89.2029
,,40.293675,10.32545,48.308275,0.249226,0.389361,0.14133,99.738675,89.2932
D15-3__007,23,40.27,10.1889,48.4784,0.259775,0.396055,0.153112,99.783,89.4531
D15-3__007,23,40.2022,9.97269,48.5279,0.25378,0.391125,0.140021,99.5552,89.6632
D15-3__007,23,40.3133,10.1811,48.4709,0.25352,0.38366,0.132122,99.7661,89.4588
,,40.26183333,10.11423,48.4924,0.255691667,0.39028,0.141751667,99.70143333,89.52503333
D15-3__008,24,39.7754,12.6646,46.462,0.250371,0.363998,0.179884,99.7282,86.7368
D15-3__008,24,39.7846,12.7581,46.5363,0.251491,0.359868,0.1726,99.914,86.6704
D15-3__008,24,39.8492,12.73,46.5404,0.249032,0.353782,0.17178,99.9368,86.697
,,39.80306667,12.71756667,46.5129,0.250298,0.359216,0.174754667,99.85966667,86.7014
D15-3__009,25,40.4865,9.41407,49.4114,0.249912,0.400027,0.137092,100.123,90.344
D15-3__009,25,40.3973,9.59257,49.3248,0.257553,0.394689,0.130251,100.134,90.1633
D15-3__009,25,40.3941,9.56799,49.2817,0.260825,0.390708,0.13082,100.072,90.1783
,,40.42596667,9.524876667,49.3393,0.256096667,0.395141333,0.132721,100.1096667,90.22853333
D15-3__010,26,40.0812,10.272,48.5832,0.248177,0.387165,0.139056,99.7551,89.3967
D15-3__010,26,40.1918,10.2923,48.5176,0.251643,0.395021,0.129189,99.8272,89.3651
D15-3__010,26,40.2108,10.0737,48.5592,0.255001,0.394145,0.137145,99.6783,89.5754
,,40.16126667,10.21266667,48.55333333,0.251607,0.392110333,0.13513,99.75353333,89.44573333
D15-3_011,28,40.6737,9.53082,49.5026,0.244629,0.402238,0.136473,100.542,90.2521
D15-3_011,28,40.6592,9.54624,49.3785,0.248295,0.407627,0.138111,100.43,90.2158
D15-3_011,28,40.3946,9.55315,49.1311,0.245795,0.405593,0.134173,99.9072,90.1649
D15-3_011,28,40.3102,9.58326,49.3141,0.25297,0.411593,0.134606,100.033,90.17
,,40.509425,9.5533675,49.331575,0.24792225,0.40676275,0.13584075,100.22805,90.2007
D15-3__012,29,40.561,9.41927,49.3284,0.2528,0.405822,0.133555,100.114,90.3244
D15-3__012,29,40.3752,9.72378,48.9169,0.247024,0.404844,0.137108,99.8183,89.9674
D15-3__012,29,40.4058,9.5901,49.0976,0.252323,0.399918,0.138276,99.8894,90.1246
,,40.44733333,9.577716667,49.1143,0.250715667,0.403528,0.136313,99.94056667,90.1388
D15-3__013,30,40.0668,11.6101,47.6076,0.257678,0.351792,0.159526,100.098,87.9657
D15-3__013,30,40.2782,11.7856,47.9154,0.256003,0.340162,0.16274,100.742,87.8747
D15-3__013,30,40.1909,11.4898,47.8396,0.259908,0.351305,0.148749,100.313,88.1264
,,40.17863333,11.6285,47.78753333,0.257863,0.347753,0.157005,100.3843333,87.98893333
D15-3__014,31,40.1915,11.1547,47.9093,0.262362,0.370547,0.152717,100.067,88.4475
D15-3__014,31,40.1961,11.0673,47.7974,0.258667,0.366106,0.147627,99.8687,88.5039
D15-3__014,31,40.2156,10.9981,47.819,0.261645,0.37538,0.138654,99.8118,88.5722
D15-3__014,31,40.1589,10.9335,47.6676,0.266939,0.363804,0.161305,99.5895,88.5996
,,40.190525,11.0384,47.798325,0.26240325,0.36895925,0.15007575,99.83425,88.5308
,,,,,,,,,
D7-1__001,33,39.7833,13.2253,45.8998,0.27659,0.284904,0.179095,99.6667,86.0853
D7-1__001,33,39.9209,13.1964,46.039,0.281314,0.27867,0.1787,99.9074,86.1477
D7-1__001,33,39.9022,13.3275,45.882,0.270282,0.278691,0.167098,99.838,85.9882
,,39.8688,13.24973333,45.94026667,0.276062,0.280755,0.174964333,99.80403333,86.07373333
D7-1___002,34,39.4792,15.3136,44.3234,0.251223,0.319376,0.219996,99.9209,83.7649
D7-1___002,34,39.4827,15.2783,44.3244,0.253342,0.322157,0.198807,99.8681,83.7965
D7-1___002,34,39.3397,15.2853,44.2883,0.246555,0.331792,0.205533,99.7134,83.7792
,,39.43386667,15.2924,44.31203333,0.250373333,0.324441667,0.208112,99.83413333,83.7802
D7-1___003,35,39.6419,14.6516,45.0212,0.239446,0.308868,0.190217,100.053,84.5619
D7-1___003,35,39.6379,14.6758,44.8753,0.234361,0.308163,0.198089,99.9296,84.4979
D7-1___003,35,39.531,14.6815,44.8522,0.22404,0.300787,0.205395,99.8129,84.4861
,,39.6036,14.66963333,44.91623333,0.232615667,0.305939333,0.197900333,99.93183333,84.5153
D7-1___004,36,39.5427,14.9305,44.8466,0.269687,0.275174,0.213791,100.097,84.2627
D7-1___004,36,39.6515,14.8456,44.6451,0.270898,0.287009,0.197769,99.8979,84.2786
D7-1___004,36,39.8618,14.9673,44.6452,0.27484,0.298537,0.190583,100.238,84.1702
,,39.68533333,14.91446667,44.7123,0.271808333,0.286906667,0.200714333,100.0776333,84.23716667
D7-1___005,37,39.3473,15.6843,44.1891,0.27268,0.254514,0.212358,99.9602,83.3949
D7-1___005,37,39.2991,15.6785,44.1052,0.278573,0.263437,0.206966,99.846,83.3738
D7-1___005,37,39.2346,15.6564,44.1677,0.268946,0.260396,0.20755,99.8089,83.4129
,,39.29366667,15.67306667,44.154,0.273399667,0.259449,0.208958,99.8717,83.39386667
D7-1___006,38,39.6033,14.6416,44.8216,0.275264,0.291461,0.192847,99.8539,84.5128
D7-1___006,38,39.5917,14.8228,44.8593,0.267397,0.284043,0.181972,100.007,84.3622
D7-1___006,38,39.443,14.8869,44.7333,0.268193,0.291213,0.1953,99.8179,84.2679
,,39.546,14.78376667,44.80473333,0.270284667,0.288905667,0.190039667,99.89293333,84.38096667
D7-1___007,39,39.1519,16.3825,43.2869,0.266181,0.237724,0.230801,99.556,82.4871
D7-1___007,39,39.2394,15.9913,43.8209,0.271262,0.262074,0.218319,99.8085,83.0071
D7-1___007,39,39.2506,16.0619,43.5939,0.274203,0.253359,0.21392,99.6478,82.8713
,,39.21396667,16.14523333,43.56723333,0.270548667,0.251052333,0.221013333,99.67076667,82.7885
D7-1__008,40,39.5552,14.7254,44.7126,0.269417,0.320225,0.192803,99.7949,84.4059
D7-1__008,40,39.5301,14.6171,44.6279,0.263016,0.316157,0.204295,99.5729,84.478
D7-1__008,40,39.551,15.268,44.3905,0.268761,0.296905,0.192568,99.9678,83.8259
,,39.54543333,14.87016667,44.577,0.267064667,0.311095667,0.196555333,99.77853333,84.2366
D7-1__009,41,39.8237,13.1498,45.8429,0.21414,0.367377,0.180048,99.5911,86.139
D7-1__009,41,39.8707,13.183,46.0037,0.22159,0.367588,0.169556,99.8163,86.1506
D7-1__009,41,39.9455,13.3508,45.9872,0.209814,0.378204,0.171631,100.065,85.9947
,,39.87996667,13.22786667,45.9446,0.215181333,0.371056333,0.173745,99.82413333,86.09476667
D7-1__010,42,40.0802,12.313,46.5525,0.247024,0.378256,0.170804,99.784,87.0793
D7-1__010,42,40.1636,12.4307,46.7164,0.256733,0.370015,0.161621,100.101,87.0116
D7-1__010,42,40.1632,12.4614,46.6228,0.243519,0.373329,0.157228,100.022,86.9611
D7-1 ave,,40.13566667,12.4017,46.63056667,0.249092,0.373866667,0.163217667,99.969,87.01733333
,,,,,,,,,
D11-2_001,43,39.8264,13.4038,45.7398,0.320402,0.30954,0.200096,99.8056,85.8817
,,,,,,,,,
D11-2_002,44,39.8906,13.6232,45.663,0.313785,0.305599,0.187141,99.9921,85.663
D11-2_002,44,39.9307,13.4743,45.6355,0.320912,0.303984,0.200093,99.8747,85.7901
D11-2_002,44,39.9576,13.4854,45.6221,0.309152,0.30337,0.196148,99.8811,85.7765
,,39.9263,13.52763333,45.6402,0.314616333,0.304317667,0.194460667,99.91596667,85.7432
D11-2_003,45,39.9472,13.327,45.8067,0.316581,0.317027,0.182948,99.9116,85.9688
D11-2_003,45,39.8374,13.3962,45.7548,0.312543,0.317321,0.192462,99.8188,85.8924
D11-2_003,45,39.8603,13.3026,45.5592,0.31776,0.316629,0.200551,99.6259,85.9255
,,39.88163333,13.34193333,45.7069,0.315628,0.316992333,0.191987,99.78543333,85.9289
D11-2_004,46,39.8867,13.9509,45.4229,0.313254,0.30785,0.199583,100.091,85.3026
D11-2_004,46,39.81,13.7444,45.4849,0.319474,0.301165,0.18824,99.8483,85.5055
D11-2_004,46,39.7315,13.7086,45.3893,0.316411,0.294409,0.188085,99.6373,85.5117
,,39.8094,13.8013,45.43236667,0.316379667,0.301141333,0.191969333,99.85886667,85.43993333
D11-2_005,47,39.8616,13.9675,45.1611,0.318009,0.294528,0.204916,99.8374,85.215
D11-2_005,47,39.7823,13.965,45.4175,0.315871,0.29833,0.207268,100.025,85.2884
D11-2_005,47,39.6955,14.2579,45.3039,0.325842,0.289619,0.201374,100.074,84.9942
,,39.7798,14.06346667,45.29416667,0.319907333,0.294159,0.204519333,99.9788,85.16586667
D11-2_006,49,39.7928,13.2786,45.8146,0.324704,0.312851,0.183824,99.7194,86.0147
D11-2_006,49,39.8875,13.2675,45.8357,0.321187,0.310562,0.193368,99.8183,86.0303
D11-2_006,49,39.9179,13.2689,46.012,0.320745,0.316854,0.191146,100.028,86.0751
D11-2 ave,,39.86606667,13.27166667,45.88743333,0.322212,0.313422333,0.189446,99.85523333,86.04003333
D11-2_007,50,39.7157,13.5203,45.8351,0.324054,0.309256,0.187512,99.8945,85.8018
D11-2_007,50,39.7339,13.2911,45.6323,0.311032,0.306291,0.197163,99.4717,85.9554
D11-2_007,50,39.9069,13.474,45.9421,0.320912,0.304586,0.19259,100.146,85.8718
,,39.7855,13.42846667,45.80316667,0.318666,0.306711,0.192421667,99.8374,85.87633333
D11-2_008,51,39.8146,13.2942,45.4942,0.326602,0.285592,0.191624,99.4081,85.9159
D11-2_008,51,39.8645,13.4215,45.4798,0.327816,0.295335,0.186674,99.587,85.7963
D11-2_008,51,39.8732,13.4046,45.4675,0.328961,0.297433,0.188354,99.56,85.8084
,,39.83955,13.35785,45.487,0.327209,0.2904635,0.189149,99.49755,85.8561
D11-2_009,52,39.7466,13.8776,45.4676,0.3099,0.297069,0.18978,99.8885,85.3808
D11-2_009,52,39.7996,13.7243,45.1536,0.320545,0.280599,0.206992,99.544,85.4329
D11-2_009,52,39.7696,13.6938,45.3885,0.320462,0.278895,0.201985,99.676,85.525
,,39.77193333,13.76523333,45.33656667,0.316969,0.285521,0.199585667,99.70283333,85.44623333
D11-2_010,53,39.7791,14.1289,45.211,0.312924,0.299,0.201061,99.9487,85.0837
D11-2_010,53,39.6745,14.165,45.2174,0.312912,0.295153,0.19868,99.8637,85.0531
D11-2_010,53,39.7596,14.1794,45.1541,0.3186,0.296041,0.197022,99.9047,85.0224
,,39.73773333,14.15776667,45.19416667,0.314812,0.296731333,0.198921,99.9057,85.05306667
,,,,,,,,,
D2-4_001,54,39.5517,15.0475,44.4776,0.321452,0.273304,0.210228,99.8818,84.0484
D2-4_001,54,39.4467,15.0502,44.3889,0.31289,0.279331,0.208771,99.6983,84.0192
D2-4_001,54,39.3679,15.0054,44.356,0.315259,0.271726,0.211511,99.5278,84.0493
,,39.45543333,15.03436667,44.4075,0.316533667,0.274787,0.21017,99.70263333,84.03896667
D2-4_002,55,39.5093,14.6833,44.6741,0.312092,0.2832,0.20905,99.6846,84.4322
